,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-14T03:38:59+00:00,https://www.google.com/,3g,225,225,225,225,500,426,68,710,746,736,308,1153,572,560,130,979,1942,1821,450,3070,743,732,304,1149,bandwidth,480Mbps,2,0.86,0.9,1815.173,0.87,2643.868,0.97,2613.69992672636,0.85,242.576,0.88,0.107700805664063
0,2021-11-14T03:49:13+00:00,https://www.vk.com/,3g,310,310,310,310,1378,1348,1196,1469,5622,5726,5509,6048,4578,4559,4471,4628,7004,6952,6812,7040,5596,5708,5494,6033,bandwidth,480Mbps,2,0.46,0,17007.2265,0,17157.2265,0,18257.4615939995,1,0,1,0
0,2021-11-14T03:41:27+00:00,https://www.facebook.com/,3g,258,258,258,258,432,430,398,461,802,797,779,810,611,601,579,612,2043,2042,1976,2107,797,787,759,805,bandwidth,480Mbps,2,0.77,0.26,3871.648,0.49,4021.648,0.83,3871.648,1,0,1,0
0,2021-11-14T03:43:57+00:00,https://www.youtube.com/,3g,9304,9304,9302,9305,64,64,58,69,2005,2002,1981,2020,162,168,162,179,2742,2751,2728,2783,2004,2001,1980,2020,bandwidth,480Mbps,2,0.55,0.19,4282.69,0.02,8237.152,0.72,4564.57161734725,0.87,226.5,1,0
0,2021-11-14T03:46:34+00:00,https://www.instagram.com/,3g,323,323,323,323,279,303,276,353,712,737,711,789,332,349,324,391,2452,2403,2254,2504,711,736,710,788,bandwidth,480Mbps,2,0.7,0.89,1858.282,0.01,10215.592,0.99,2079.36855999991,1,0,0.94,0.08203125
0,2021-11-14T04:33:58+00:00,https://www.google.com/,3g,225,225,225,225,472,472,467,478,1044,1050,933,1174,868,847,747,926,1600,1605,1508,1707,1040,1047,930,1170,bandwidth,800Mbps,2,0.8,0.89,1821.657,0.86,2669.2425,0.85,3739.97560777099,0.85,248,0.55,0.227651706271701
0,2021-11-14T04:44:15+00:00,https://www.vk.com/,3g,310,310,310,310,1418,1526,1328,1831,5799,6074,5706,6718,4688,4886,4482,5488,6866,6897,6356,7470,5778,6054,5686,6699,bandwidth,800Mbps,2,0.46,0,16505.6205,0,16580.6205,0.01,16943.0585939995,1,0,1,0
0,2021-11-14T04:36:28+00:00,https://www.facebook.com/,3g,258,258,258,258,481,435,291,532,839,806,663,915,628,578,429,677,2076,2083,1949,2223,834,795,657,895,bandwidth,800Mbps,2,0.78,0.27,3809.64,0.51,3959.64,0.84,3809.64,1,0,1,0
0,2021-11-14T04:38:57+00:00,https://www.youtube.com/,3g,9317,9315,9295,9333,68,69,61,79,1994,1989,1965,2007,178,179,161,197,2698,2706,2693,2728,1993,1988,1964,2006,bandwidth,800Mbps,2,0.51,0.16,4460.804,0.03,7993.665,0.66,4885.42225902158,0.76,329.5,1,0
0,2021-11-14T04:41:34+00:00,https://www.instagram.com/,3g,323,323,323,323,405,447,273,663,829,877,713,1088,441,496,333,715,2460,2509,2352,2716,828,876,712,1087,bandwidth,800Mbps,2,0.71,0.99,1084.419,0.01,10191.6,1,1540.21683400095,1,0,0.94,0.08203125
0,2021-11-14T04:19:45+00:00,https://www.google.com/,3g,225,225,225,225,95,212,78,464,370,582,322,1054,158,395,149,877,532,940,483,1804,366,578,318,1050,bandwidth,720Mbps,2,0.81,0.9,1815.084,0.87,2651.3245,0.88,3530.55690425755,0.86,242,0.55,0.228579440646701
0,2021-11-14T04:30:37+00:00,https://www.vk.com/,3g,310,310,310,310,1413,1795,1378,2594,6159,6434,5719,7424,4728,5111,4712,5894,7021,7316,6846,8080,6143,6416,5703,7403,bandwidth,720Mbps,2,0.46,0,15789.4195,0,15864.4195,0.01,16553.2866959998,1,0,1,0
0,2021-11-14T04:22:36+00:00,https://www.facebook.com/,3g,258,258,258,258,340,396,333,514,717,760,692,870,495,545,478,661,1986,2042,1979,2161,698,750,687,866,bandwidth,720Mbps,2,0.78,0.28,3793.654,0.52,3943.654,0.84,3793.654,1,0,1,0.027561836242676
0,2021-11-14T04:25:23+00:00,https://www.youtube.com/,3g,9324,9318,9295,9336,52,54,52,58,1959,1962,1931,1996,162,168,162,180,2659,2663,2607,2723,1957,1961,1930,1995,bandwidth,720Mbps,2,0.54,0.19,4278.457,0.03,7932.8055,0.66,4857.41621167628,0.86,239,1,0
0,2021-11-14T04:27:59+00:00,https://www.instagram.com/,3g,323,323,323,323,280,280,276,284,708,788,707,949,332,326,312,333,2405,2439,2380,2532,707,787,706,948,bandwidth,720Mbps,2,0.7,0.88,1865.6,0.01,10208.492,0.99,2060.13544800032,1,0,0.94,0.08203125
0,2021-11-14T02:45:10+00:00,https://www.google.com/,3g,225,225,225,225,74,200,73,453,389,580,336,1016,132,370,132,845,545,1009,486,1995,385,576,332,1012,bandwidth,160Mbps,2,0.85,0.9,1811.18,0.87,2645.8045,0.94,3023.90253935994,0.83,262,0.88,0.107700805664063
0,2021-11-14T02:55:18+00:00,https://www.vk.com/,3g,310,310,310,310,1358,1368,1302,1444,6094,5929,5490,6202,5014,4830,4415,5060,6775,6597,6178,6839,6078,5910,5475,6177,bandwidth,160Mbps,2,0.46,0,15822.412,0,15972.412,0.01,16845.187338,1,0,1,0
0,2021-11-14T02:47:32+00:00,https://www.facebook.com/,3g,258,258,258,258,396,405,378,440,733,747,732,775,544,554,525,594,1940,1985,1929,2086,726,741,726,770,bandwidth,160Mbps,2,0.78,0.27,3833.84,0.5,3983.84,0.84,3833.84,1,0,1,0.027561836242676
0,2021-11-14T02:50:02+00:00,https://www.youtube.com/,3g,9284,9284,9274,9294,64,63,50,76,1958,1968,1913,2032,178,173,161,179,2670,2695,2653,2763,1956,1965,1910,2030,bandwidth,160Mbps,2,0.57,0.19,4279.541,0.02,8610.624,0.76,4317.77688128657,0.92,175.07,1,0.006707763671875
0,2021-11-14T02:52:39+00:00,https://www.instagram.com/,3g,323,323,323,323,275,274,271,275,700,699,694,702,317,319,311,330,2282,2280,2269,2290,699,698,693,701,bandwidth,160Mbps,2,0.71,0.99,1086.613,0.01,10203.647,1,1586.45547799992,1,0,0.94,0.08203125
0,2021-11-14T03:25:30+00:00,https://www.google.com/,3g,225,225,225,225,81,231,65,546,322,562,311,1053,147,386,133,879,473,717,469,1209,318,558,307,1049,bandwidth,400Mbps,2,0.77,0.89,1847.352,0.83,2800.691,0.81,4013.18005746283,0.82,275.5,0.55,0.227651706271701
0,2021-11-14T03:35:43+00:00,https://www.vk.com/,3g,310,310,310,310,1383,1524,1351,1838,5593,5647,5520,5827,4645,4538,4310,4659,6555,6616,6479,6813,5573,5628,5500,5811,bandwidth,400Mbps,2,0.46,0,16124.905,0,16424.905,0,18632.3687440001,1,0,1,0
0,2021-11-14T03:27:59+00:00,https://www.facebook.com/,3g,258,258,258,258,373,353,301,385,717,688,629,718,528,500,444,528,1923,1917,1900,1929,704,681,625,713,bandwidth,400Mbps,2,0.76,0.24,3962.795,0.47,4112.795,0.82,3962.795,1,0,1,0
0,2021-11-14T03:30:29+00:00,https://www.youtube.com/,3g,9295,9288,9274,9296,66,64,53,74,2001,1996,1953,2034,162,162,143,180,2754,2729,2655,2779,2000,1995,1952,2033,bandwidth,400Mbps,2,0.51,0.17,4376.24,0.01,8966.707,0.68,4782.28676908513,0.77,320.222,1,0
0,2021-11-14T03:33:05+00:00,https://www.instagram.com/,3g,323,323,323,323,291,443,274,764,712,872,707,1198,325,487,323,814,2345,2512,2269,2922,711,871,706,1197,bandwidth,400Mbps,2,0.7,0.89,1857.057,0.01,10236.723,0.99,2073.21633000023,1,0,0.94,0.08203125
0,2021-11-14T03:11:59+00:00,https://www.google.com/,3g,225,225,225,225,70,71,70,74,316,322,306,345,135,136,135,138,481,476,456,492,313,319,302,341,bandwidth,320Mbps,2,0.87,0.89,1853.379,0.85,2734.659,0.97,2688.41517596784,0.86,238,0.99,0.051487426757813
0,2021-11-14T03:22:14+00:00,https://www.vk.com/,3g,310,310,310,310,1492,1554,1441,1728,5585,5646,5431,5921,4615,4601,4477,4712,6515,6577,6342,6875,5565,5626,5412,5901,bandwidth,320Mbps,2,0.46,0,16389.1915,0,16539.1915,0,17834.496944,1,0,1,0
0,2021-11-14T03:14:29+00:00,https://www.facebook.com/,3g,258,258,258,258,418,414,397,426,758,1092,701,1816,561,550,526,562,2064,2061,1943,2175,754,1082,696,1795,bandwidth,320Mbps,2,0.77,0.26,3895.039,0.49,4045.039,0.83,3895.039,1,0,1,0.027561836242676
0,2021-11-14T03:16:59+00:00,https://www.youtube.com/,3g,9295,9313,9286,9358,54,55,51,60,1926,1926,1918,1933,161,167,161,179,2635,2863,2609,3344,1925,1924,1916,1932,bandwidth,320Mbps,2,0.51,0.18,4303.757,0.03,8089.5855,0.62,5080.80232452604,0.75,336.5345,1,0
0,2021-11-14T03:19:36+00:00,https://www.instagram.com/,3g,323,323,323,323,292,411,290,652,719,837,714,1077,349,456,331,687,2295,2423,2269,2706,718,835,713,1075,bandwidth,320Mbps,2,0.71,0.95,1539.735,0.01,10200.191,1,1868.42439799969,1,0,0.94,0.08203125
0,2021-11-14T02:31:26+00:00,https://www.google.com/,3g,225,225,225,225,67,67,64,71,356,343,308,365,139,149,131,178,520,501,459,524,352,339,305,361,bandwidth,80Mbps,2,0.84,0.89,1821.786,0.83,2813.573,0.95,2942.31249371523,0.83,261.5,0.88,0.107700805664063
0,2021-11-14T02:41:54+00:00,https://www.vk.com/,3g,310,310,310,310,1457,1425,1249,1570,5485,5671,5478,6049,4411,4587,4405,4946,6121,6266,6086,6592,5470,5653,5459,6029,bandwidth,80Mbps,2,0.46,0,16319.4255,0,16394.4255,0.01,16319.4255,1,0,1,0
0,2021-11-14T02:33:54+00:00,https://www.facebook.com/,3g,258,258,258,258,387,397,385,420,806,779,706,824,528,533,511,561,1931,1975,1930,2063,787,764,701,803,bandwidth,80Mbps,2,0.79,0.29,3726.086,0.53,3876.086,0.85,3726.086,1,0,1,0
0,2021-11-14T02:36:25+00:00,https://www.youtube.com/,3g,9293,9302,9287,9327,56,57,53,63,2048,2024,1952,2072,178,173,163,179,2695,3008,2650,3678,2047,2023,1951,2071,bandwidth,80Mbps,2,0.52,0.18,4336.686,0.02,8247.728,0.69,4705.0279043337,0.77,320.5,1,0.016726684570313
0,2021-11-14T02:39:03+00:00,https://www.instagram.com/,3g,323,323,323,323,288,301,276,338,715,732,709,771,332,346,331,376,2282,2345,2257,2495,713,730,708,770,bandwidth,80Mbps,2,0.71,0.99,1088.333,0.01,10262.361,1,1412.21633800002,1,0,0.94,0.08203125
0,2021-11-14T02:58:34+00:00,https://www.google.com/,3g,225,225,225,225,68,69,65,74,338,334,313,352,135,135,131,138,490,486,465,502,335,331,310,348,bandwidth,240Mbps,2,0.86,0.89,1847.182,0.84,2785.009,0.97,2697.79382569543,0.86,237.5,0.88,0.107700805664063
0,2021-11-14T03:08:41+00:00,https://www.vk.com/,3g,310,310,310,310,1715,1627,1444,1721,5690,5708,5594,5839,4565,4536,4454,4589,6238,6405,6133,6845,5671,5683,5553,5824,bandwidth,240Mbps,2,0.46,0,15693.593,0,15843.593,0.01,16470.9388959999,1,0,1,0
0,2021-11-14T03:00:56+00:00,https://www.facebook.com/,3g,258,258,258,258,365,344,297,371,708,700,681,712,510,495,462,513,1909,1896,1865,1915,700,689,662,704,bandwidth,240Mbps,2,0.78,0.27,3845.389,0.5,3995.389,0.84,3845.389,1,0,1,0.027561836242676
0,2021-11-14T03:03:25+00:00,https://www.youtube.com/,3g,9329,9321,9276,9359,54,54,51,57,1930,1958,1903,2041,162,164,160,171,2665,2944,2662,3505,1929,1957,1902,2039,bandwidth,240Mbps,2,0.5,0.15,4510.04,0.02,8544.954,0.66,4854.65561264158,0.75,335.516,1,0.016726684570313
0,2021-11-14T03:06:02+00:00,https://www.instagram.com/,3g,323,323,323,323,283,283,281,284,710,710,702,717,324,325,321,331,2244,2243,2221,2264,709,709,701,716,bandwidth,240Mbps,2,0.7,0.88,1863.894,0.01,10260.462,0.99,2085.09331600009,1,0,0.94,0.08203125
0,2021-11-14T03:52:28+00:00,https://www.google.com/,3g,225,225,225,225,474,350,73,502,790,741,308,1126,582,545,138,916,1226,1173,478,1814,787,738,304,1123,bandwidth,560Mbps,2,0.85,0.9,1813.794,0.87,2653.7945,0.96,2726.39288657198,0.81,287.002,0.88,0.108628540039063
0,2021-11-14T04:02:56+00:00,https://www.vk.com/,3g,310,310,310,310,1732,1610,1147,1951,6212,5946,5409,6218,5094,4813,4234,5111,7165,7010,6478,7387,6192,5929,5394,6200,bandwidth,560Mbps,2,0.46,0,16584.891,0,16734.891,0,18436.7935960008,1,0,1,0
0,2021-11-14T03:54:55+00:00,https://www.facebook.com/,3g,258,258,258,258,354,365,341,401,740,720,675,746,526,521,495,543,1901,1913,1885,1952,727,711,669,737,bandwidth,560Mbps,2,0.76,0.25,3947.371,0.47,4097.371,0.82,3947.371,1,0,1,0.027561836242676
0,2021-11-14T03:57:37+00:00,https://www.youtube.com/,3g,9305,9312,9285,9345,62,64,62,67,1961,1955,1929,1975,177,172,160,179,2623,2631,2595,2674,1960,1954,1927,1974,bandwidth,560Mbps,2,0.5,0.17,4387.0925,0.03,7815.3835,0.71,4614.06199711543,0.71,375.1585,1,0.033453369140625
0,2021-11-14T04:00:16+00:00,https://www.instagram.com/,3g,323,323,323,323,644,572,385,687,1075,1002,820,1112,698,615,422,725,2702,2630,2443,2744,1074,1001,819,1111,bandwidth,560Mbps,2,0.71,0.99,1248.107,0.01,10250.403,1,1751.53294600024,1,0,0.94,0.08203125
0,2021-11-14T04:06:16+00:00,https://www.google.com/,3g,225,225,225,225,487,359,80,509,1054,846,352,1132,862,644,144,927,1437,1300,541,1923,1051,839,337,1128,bandwidth,640Mbps,2,0.85,0.89,1820.965,0.86,2679.344,0.9,3362.7447768161,0.86,241,0.88,0.107700805664063
0,2021-11-14T04:16:32+00:00,https://www.vk.com/,3g,310,310,310,310,1353,1331,1198,1442,5592,5483,5157,5700,4541,4435,4010,4753,6368,6394,6021,6792,5553,5450,5140,5658,bandwidth,640Mbps,2,0.46,0,16868.276,0,17018.276,0.01,16868.276,1,0,1,0
0,2021-11-14T04:08:41+00:00,https://www.facebook.com/,3g,258,258,258,258,347,340,282,391,747,743,657,825,545,533,428,627,2037,1975,1793,2096,732,729,637,818,bandwidth,640Mbps,2,0.77,0.26,3895.837,0.49,4045.837,0.83,3895.837,1,0,1,0.027561836242676
0,2021-11-14T04:11:16+00:00,https://www.youtube.com/,3g,9307,9296,9256,9326,59,58,55,60,2003,1979,1915,2018,161,161,161,162,2749,2849,2725,3074,2002,1977,1914,2016,bandwidth,640Mbps,2,0.53,0.18,4305.619,0.03,7923.1695,0.66,4882.64905165332,0.8,292.1585,1,0
0,2021-11-14T04:13:53+00:00,https://www.instagram.com/,3g,323,323,323,323,281,424,273,718,723,855,697,1146,332,470,313,766,2407,2471,2297,2709,721,854,696,1145,bandwidth,640Mbps,2,0.71,0.99,1239.622,0.01,10242.672,1,1667.37723199956,1,0,0.94,0.08203125
0,2021-11-14T03:40:10+00:00,https://www.google.com/,3g,225,225,225,225,457,349,68,523,918,1066,312,1967,594,491,132,747,1344,1508,464,2715,914,1062,308,1964,bandwidth,480Mbps,2,0.8,0.9,1818.671,0.87,2655.4565,0.48,5909.65453631957,0.81,278.5,0.88,0.108628540039063
0,2021-11-14T03:50:50+00:00,https://www.vk.com/,3g,310,310,310,310,1446,1387,1266,1450,5827,5938,5396,6592,4565,4832,4312,5620,6880,7078,6530,7825,5807,5911,5354,6572,bandwidth,480Mbps,3,0.46,0,16443.2475,0,16518.2475,0,18262.1289459993,1,0,1,0
0,2021-11-14T03:42:41+00:00,https://www.facebook.com/,3g,258,259,258,260,395,419,340,521,806,809,749,872,563,594,544,675,2088,2102,2041,2176,801,804,744,867,bandwidth,480Mbps,3,0.78,0.27,3843.164,0.5,3993.164,0.84,3843.164,1,0,1,0
0,2021-11-14T03:45:17+00:00,https://www.youtube.com/,3g,9303,9301,9284,9317,63,64,54,75,1945,1952,1930,1980,176,172,161,179,2689,2688,2677,2698,1943,1950,1929,1979,bandwidth,480Mbps,2,0.57,0.19,4287.983,0.02,8536.079,0.68,4739.76381255704,0.94,153,1,0.023434448242188
0,2021-11-14T03:47:50+00:00,https://www.instagram.com/,3g,323,323,323,323,278,279,278,282,719,718,716,720,330,330,330,331,2337,2455,2322,2705,718,717,715,719,bandwidth,480Mbps,3,0.7,0.88,1862.132,0.01,10243.04,0.99,2075.57632400013,1,0,0.94,0.08203125
0,2021-11-14T04:35:15+00:00,https://www.google.com/,3g,225,225,225,225,477,480,446,518,1017,1000,747,1237,843,816,593,1011,1887,1682,1201,1959,1013,997,744,1233,bandwidth,800Mbps,2,0.75,0.89,1851.323,0.85,2739.295,0.73,4479.9847423796,0.76,330.5,0.55,0.227651706271701
0,2021-11-14T04:46:03+00:00,https://www.vk.com/,3g,310,310,310,310,1366,1379,1356,1415,5941,5892,5233,6503,4713,4578,4211,4811,6897,6917,6392,7461,5921,5872,5212,6482,bandwidth,800Mbps,3,0.46,0,16424.3045,0,16499.3045,0,17715.128596,1,0,1,0
0,2021-11-14T04:37:41+00:00,https://www.facebook.com/,3g,258,258,258,258,353,396,287,548,698,754,643,920,496,545,443,695,1896,2022,1874,2297,694,749,638,915,bandwidth,800Mbps,3,0.78,0.28,3802.858,0.51,3952.858,0.84,3802.858,1,0,1,0
0,2021-11-14T04:40:17+00:00,https://www.youtube.com/,3g,9314,9311,9305,9314,57,57,52,63,1978,1980,1937,2024,162,162,161,163,2777,3024,2638,3656,1976,1979,1937,2023,bandwidth,800Mbps,2,0.54,0.18,4342.754,0.04,7770.358,0.73,4464.3637226002,0.83,262.999999999999,1,0
0,2021-11-14T04:42:51+00:00,https://www.instagram.com/,3g,323,324,323,325,282,413,278,680,794,907,734,1194,331,463,329,729,2373,2468,2297,2735,793,906,733,1193,bandwidth,800Mbps,3,0.71,0.99,1089.729,0.01,10249.243,1,1499.08961800006,1,0,0.94,0.08203125
0,2021-11-14T04:21:07+00:00,https://www.google.com/,3g,225,225,225,225,536,545,528,572,1038,1024,994,1039,863,857,829,879,1455,1484,1392,1606,1034,1020,991,1035,bandwidth,720Mbps,2,0.85,0.9,1819.298,0.79,2957.4135,0.79,4104.67422799999,0.89,207.5,0.98,0.05714111328125
0,2021-11-14T04:32:22+00:00,https://www.vk.com/,3g,310,310,310,310,1412,1442,1293,1622,6309,6332,5772,6916,4661,4717,4447,5044,7363,7123,6445,7562,6289,6311,5752,6893,bandwidth,720Mbps,3,0.46,0,16466.2075,0,16541.2075,0,17738.3611440001,1,0,1,0
0,2021-11-14T04:23:53+00:00,https://www.facebook.com/,3g,258,258,258,258,316,324,290,365,670,685,656,730,463,474,446,513,2010,2001,1960,2032,666,678,642,726,bandwidth,720Mbps,3,0.76,0.24,3971.793,0.47,4121.793,0.82,3971.793,1,0,1,0.027561836242676
0,2021-11-14T04:26:42+00:00,https://www.youtube.com/,3g,9316,9329,9297,9375,61,60,58,62,2013,2032,1981,2101,179,179,162,196,2690,2740,2690,2839,2012,2030,1980,2099,bandwidth,720Mbps,2,0.52,0.18,4289.776,0.04,7514.121,0.71,4573.20201987078,0.76,329.5,1,0
0,2021-11-14T04:29:14+00:00,https://www.instagram.com/,3g,323,323,323,323,595,751,287,1370,1069,1203,730,1809,648,795,324,1412,2657,2805,2334,3424,1068,1202,729,1808,bandwidth,720Mbps,3,0.7,0.88,1861.052,0.01,10229.594,0.99,2056.56851200027,1,0,0.94,0.08203125
