,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance_median,lighthouse_performance_mean
0,2021-11-27T07:01:55+00:00,https://www.whatsapp.com/,3g,560,560,560,560,463,466,435,499,1053,1059,983,1142,869,882,805,971,2309,2392,2229,2639,1037,1042,964,1125,delay,1000ms,2,66,0,0.83,0.83
0,2021-11-27T06:56:03+00:00,https://www.canva.com/,3g,4267,4265,4262,4267,594,736,573,1041,5151,4927,4476,5155,1052,1199,1050,1494,5241,5308,4557,6125,5138,4912,4458,5139,delay,1000ms,2,367,0,0.42,0.4333
0,2021-11-27T05:33:55+00:00,https://www.facebook.com/,3g,264,264,264,264,353,364,320,418,1323,1317,1266,1363,772,763,714,804,2550,2628,2355,2979,1311,1304,1252,1349,delay,1000ms,2,132,0,0.78,0.78
0,2021-11-27T05:37:34+00:00,https://www.instagram.com/,3g,323,323,323,323,278,274,265,279,1352,1360,1339,1389,487,489,482,498,2873,2883,2861,2914,1348,1357,1336,1387,delay,1000ms,2,102,0,0.71,0.7067
0,2021-11-27T07:05:45+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,2366,2354,1628,3067,7462,7743,7243,8523,2802,2827,2080,3599,9505,9458,8781,10087,7379,7651,7141,8433,delay,1000ms,2,321,0,0.17,0.1733
0,2021-11-27T05:41:33+00:00,https://www.vk.com/,3g,310,281,222,310,1088,1121,1072,1202,5560,5649,5483,5903,4543,4653,4530,4885,6213,6168,5718,6574,5529,5628,5482,5873,delay,1000ms,2,203,0,0.46,0.46
0,2021-11-27T05:23:53+00:00,https://www.whatsapp.com/,3g,560,560,560,560,449,483,431,568,1016,1093,1015,1247,816,852,801,938,2273,2302,2262,2371,999,1072,996,1220,delay,800ms,2,62,0,0.84,0.8367
0,2021-11-27T05:17:58+00:00,https://www.canva.com/,3g,4267,4265,4262,4267,673,648,575,695,4577,4760,4567,5137,1111,1138,1056,1247,4701,4868,4658,5244,4559,4740,4547,5115,delay,800ms,2,361,0,0.42,0.4133
0,2021-11-27T05:04:44+00:00,https://www.facebook.com/,3g,264,264,264,264,309,318,308,337,1298,1271,1212,1303,765,734,670,768,2467,2545,2380,2789,1283,1258,1200,1291,delay,800ms,2,130,0,0.78,0.8033
0,2021-11-27T05:08:28+00:00,https://www.instagram.com/,3g,323,323,323,323,587,542,271,767,1736,1680,1402,1902,833,746,445,960,3262,3195,2917,3407,1733,1677,1400,1899,delay,800ms,2,102,0,0.71,0.71
