,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-22T02:56:25+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1679,1626,1518,1681,4978,5704,4936,7197,1913,1872,1775,1928,7885,7859,7763,7930,4911,5633,4870,7118,delay,0ms,3,0.21,0.45,3150.223,0.02,8760.9665,0.05,11629.04197,0.02,3836,1,0.01345414903
0,2021-11-22T02:45:13+00:00,https://www.canva.com/,3g,4252,4256,4251,4264,632,622,570,664,3705,3635,3461,3739,913,908,863,949,4322,4445,3824,5189,3676,3614,3446,3719,delay,0ms,3,0.47,0.81,2113.389,0.64,3499.389,0.52,5702.512881,0.05,2499.5,1,0.002768866221
0,2021-11-22T02:48:13+00:00,https://www.whatsapp.com/,3g,560,560,560,560,464,482,434,549,816,826,771,890,677,699,660,760,2043,2060,2011,2126,808,818,763,882,delay,0ms,3,0.84,0.69,2451.436,0.5,3984.968,0.98,2451.436,1,0,1,0.0137546658
0,2021-11-22T03:00:02+00:00,https://www.live.com/,3g,449,449,449,449,189,170,82,238,1945,2736,1916,4347,460,432,344,493,2245,3116,2223,4879,1945,2736,1916,4346,delay,0ms,3,0.42,0.54,2877.393,0.01,9922.619,0.84,3827.033984,0.26,1043,1,0
0,2021-11-22T03:14:23+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1227,1488,1132,2105,4467,4744,4443,5322,1493,1742,1395,2339,7355,7652,7339,8263,4400,4674,4366,5256,delay,100ms,3,0.16,0.31,3672.748,0.02,8722.4645,0.05,11815.89499,0.01,4555,0.77,0.1463085598
0,2021-11-22T03:03:27+00:00,https://www.canva.com/,3g,4255,4254,4247,4259,602,609,593,633,3709,3823,3572,4188,904,915,894,947,3835,3916,3637,4276,3685,3799,3538,4173,delay,100ms,3,0.48,0.81,2122.982,0.67,3411.323,0.52,5659.780327,0.05,2537.8035,1,0.001323025174
0,2021-11-22T03:06:30+00:00,https://www.whatsapp.com/,3g,560,560,560,560,421,501,417,666,777,846,757,1004,643,715,610,892,2004,2075,1988,2234,768,838,748,997,delay,100ms,3,0.81,0.64,2604.055,0.41,4332.9075,0.97,2604.055,1,0,1,0.0137546658
0,2021-11-22T03:17:55+00:00,https://www.live.com/,3g,449,449,449,449,142,148,118,185,1888,1886,1876,1894,395,405,394,427,2189,2188,2177,2197,1888,1886,1876,1894,delay,100ms,3,0.4,0.5,2987.499,0.01,9999.368,0.77,4276.18339,0.26,1052,1,0
0,2021-11-22T04:06:32+00:00,https://www.glassdoor.com/,3g,1146,1147,1146,1148,2666,2451,1113,3575,5601,5505,4320,6595,2928,2711,1395,3811,8863,8674,7414,9744,5519,5426,4242,6518,delay,400ms,3,0.17,0.3,3699.496,0.02,8689.511,0.06,11064.62198,0.01,4156.285,0.82,0.1285188802
0,2021-11-22T03:56:41+00:00,https://www.canva.com/,3g,4258,4256,4252,4258,591,604,584,638,3770,3679,3472,3795,897,895,880,909,3833,3753,3551,3876,3766,3664,3448,3778,delay,400ms,3,0.47,0.79,2189.305,0.63,3531.305,0.55,5480.612026,0.05,2486,1,0.001724514008
