,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-22T10:07:13+00:00,https://www.whatsapp.com/,3g,560,560,560,560,464,693,419,1196,860,1076,804,1563,712,941,668,1444,2094,2295,2030,2760,851,1067,795,1554,packetLoss,0.15%,3,0.84,0.7,2448.049,0.51,3947.124,0.98,2448.049,1,0,1,0.0137546658
0,2021-11-22T10:32:37+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1834,1694,1378,1871,5027,4927,4695,5058,2117,2063,1629,2442,8047,8257,7921,8803,4941,4848,4621,4983,packetLoss,0.30%,3,0.18,0.45,3164.552,0.02,8724.1315,0.04,11897.24003,0.01,3899,0.81,0.131700609
0,2021-11-22T10:22:19+00:00,https://www.canva.com/,3g,4258,4258,4252,4264,624,616,566,658,3748,3708,3506,3869,910,924,870,991,3870,3812,3598,3968,3732,3697,3498,3861,packetLoss,0.30%,3,0.48,0.81,2106.107,0.64,3499.107,0.55,5524.174105,0.06,2225.5,1,0.002768866221
0,2021-11-22T10:25:20+00:00,https://www.whatsapp.com/,3g,560,560,560,560,451,889,403,1812,817,1242,762,2148,666,1106,628,2025,2040,2473,1997,3382,806,1234,755,2140,packetLoss,0.30%,3,0.83,0.64,2598.198,0.47,4099.298,0.97,2598.198,1,0,1,0.0137546658
0,2021-11-22T12:43:30+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1217,2061,1161,3806,4633,5355,4441,6992,1505,2348,1478,4062,7457,8287,7389,10014,4569,5285,4374,6912,packetLoss,1.35%,3,0.16,0.3,3689.696,0.02,8759.6385,0.05,11430.34656,0.01,4521,0.77,0.1463085598
0,2021-11-22T12:31:06+00:00,https://www.canva.com/,3g,4264,4259,4247,4267,563,570,561,585,3892,4269,3579,5336,863,868,835,907,4016,6781,3656,12670,3878,4254,3565,5319,packetLoss,1.35%,3,0.49,0.78,2197.441,0.73,3190.064,0.51,5735.297362,0.05,2371.5,1,0.001323025174
0,2021-11-22T12:34:07+00:00,https://www.whatsapp.com/,3g,560,560,560,560,875,814,571,997,1343,1332,929,1725,1220,1193,784,1576,2569,2548,2149,2927,1335,1325,922,1718,packetLoss,1.35%,3,0.82,0.69,2454.798,0.41,4333.973,0.98,2454.798,1,0,1,0.0137546658
0,2021-11-22T12:24:19+00:00,https://www.glassdoor.com/,3g,1146,1145,1142,1146,1717,2328,1288,3978,4762,6399,4703,9733,1984,2619,1560,4313,10333,9513,7472,10733,4686,6323,4625,9658,packetLoss,1.20%,3,0.16,0.31,3670.313,0.01,9297.4995,0.01,14706.0984,0.02,3823,0.77,0.1463085598
0,2021-11-22T12:13:37+00:00,https://www.canva.com/,3g,4259,4257,4248,4264,644,692,592,839,3812,3826,3805,3860,934,981,881,1129,3865,3879,3851,3920,3807,3815,3801,3838,packetLoss,1.20%,3,0.5,0.79,2172.915,0.74,3170.487,0.51,5766.145902,0.07,2181.936,1,0.001323025174
0,2021-11-22T12:16:41+00:00,https://www.whatsapp.com/,3g,560,560,560,560,437,425,397,441,755,770,722,832,648,651,610,694,2027,2012,1955,2055,747,762,714,825,packetLoss,1.20%,3,0.81,0.64,2600.805,0.42,4325.805,0.97,2600.805,1,0,1,0.0137546658
