,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-23T08:13:01+00:00,https://www.canva.com/,3g,4248,4254,4248,4267,558,553,539,562,3752,3793,3621,4006,999,958,847,1029,3842,3874,3712,4069,3747,3782,3599,4001,bandwidth,800Mbps,3,0.47,0.8,2132.651,0.64,3504.651,0.48,5896.306446,0.05,2401.9175,1,0.002768866221
0,2021-11-23T08:16:00+00:00,https://www.whatsapp.com/,3g,560,560,560,560,390,392,385,401,753,755,746,766,609,612,598,628,1976,1974,1963,1984,745,747,737,759,bandwidth,800Mbps,3,0.84,0.64,2601.332,0.51,3951.332,0.97,2601.332,1,0,1,0.0137546658
0,2021-11-23T08:34:49+00:00,https://www.live.com/,3g,449,449,449,449,120,137,117,173,1862,1868,1753,1990,397,416,391,461,2166,2407,2031,3025,1862,1868,1753,1990,bandwidth,800Mbps,3,0.44,0.54,2869.935,0.01,9775.396,0.92,3228.949157,0.27,1023,1,0
0,2021-11-23T05:54:37+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1161,1418,1141,1952,4563,4846,4385,5590,1478,1813,1409,2553,7650,7790,7261,8458,4485,4777,4319,5527,bandwidth,240Mbps,3,0.17,0.35,3485.857,0.02,8663.972,0.04,12212.36209,0.01,3947.5,0.81,0.133766649
0,2021-11-23T05:43:29+00:00,https://www.canva.com/,3g,4259,4257,4254,4259,918,863,532,1138,4239,4070,3625,4347,1243,1179,829,1464,4307,4159,3757,4413,4229,4053,3598,4331,bandwidth,240Mbps,3,0.48,0.8,2132.432,0.67,3411.732,0.54,5545.548192,0.04,2590,1,0.002768866221
0,2021-11-23T05:46:28+00:00,https://www.whatsapp.com/,3g,560,560,560,560,527,536,410,670,856,870,727,1026,718,745,610,906,2094,2091,1943,2237,847,861,719,1016,bandwidth,240Mbps,3,0.83,0.68,2498.931,0.47,4113.663,0.98,2498.931,1,0,1,0.0137546658
0,2021-11-23T05:58:10+00:00,https://www.live.com/,3g,449,449,449,449,179,162,118,188,1742,1740,1656,1822,412,407,382,428,2049,2023,1896,2123,1742,1740,1655,1822,bandwidth,240Mbps,3,0.42,0.52,2952.343,0.01,10142.251,0.82,3918.628262,0.3,935.5,1,0
0,2021-11-23T07:15:48+00:00,https://www.glassdoor.com/,3g,1146,1144,1140,1146,8137,6096,1997,8154,11774,20442,9349,40204,8590,6526,2288,8699,14588,24802,14470,45349,11693,20365,9273,40130,bandwidth,560Mbps,3,0.16,0.3,3705.46,0.01,10247.748,0.07,10780.65067,0.01,4769.0605,0.75,0.1527575684
0,2021-11-23T06:59:53+00:00,https://www.canva.com/,3g,4254,4254,4252,4255,591,611,579,664,3810,3716,3487,3852,923,926,893,961,3885,3842,3731,3909,3803,3710,3480,3847,bandwidth,560Mbps,3,0.47,0.79,2163.726,0.66,3449.874,0.49,5844.185228,0.05,2451.1535,1,0.001323025174
0,2021-11-23T07:03:06+00:00,https://www.whatsapp.com/,3g,560,560,560,560,515,523,426,629,857,859,757,962,743,743,644,842,2079,2091,1993,2202,848,850,749,954,bandwidth,560Mbps,3,0.81,0.64,2602.909,0.41,4327.909,0.97,2602.909,1,0,1,0.0137546658
