,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-16T19:57:31+00:00,https://www.google.com/,3g,210,211,210,214,77,77,71,84,675,924,559,1538,272,265,238,284,814,1034,694,1593,665,916,550,1532,delay,600ms,2,69,0,0.78,0.86,1948.8415,0.97,2027.067,0.96,2815.910165548855,0.44,676,0.99,0.0422119140625
0,2021-11-16T20:08:49+00:00,https://www.vk.com/,3g,310,310,310,310,1098,1147,1089,1253,5060,5196,5008,5520,4081,4182,4051,4415,5637,5775,5582,6106,5032,5171,4984,5496,delay,600ms,2,201,0,0.46,0,15820.52,0,15895.52,0.01,15820.52,1,0,1,0
0,2021-11-16T20:00:05+00:00,https://www.facebook.com/,3g,259,259,259,259,280,289,277,309,867,873,797,954,586,603,536,687,2031,2034,1952,2118,860,865,789,947,delay,600ms,2,123,0,0.78,0.26,3872.843,0.54,3872.843,0.83,3872.843,1,0,1,0.02756183624267578
0,2021-11-16T20:02:50+00:00,https://www.youtube.com/,3g,9387,9387,9357,9418,80,77,69,82,4418,4385,4240,4496,390,391,367,415,11246,11253,11059,11453,4415,4381,4235,4493,delay,600ms,2,292,0,0.39,0.13,4705.963,0.03,8077.880500000001,0.61,5172.772816628025,0.4,748.4944999999998,1,0.0167266845703125
0,2021-11-16T20:06:00+00:00,https://www.instagram.com/,3g,323,323,323,323,284,287,274,303,1060,1053,1015,1083,380,384,369,403,2505,2493,2457,2517,1058,1051,1013,1081,delay,600ms,2,102,0,0.71,0.98,1280.6119999999999,0.01,10233.545,0.99,2095.147107999268,1,0,0.94,0.08203125
0,2021-11-16T19:42:48+00:00,https://www.google.com/,3g,210,210,210,210,76,77,71,84,556,640,538,826,234,248,204,307,712,782,677,957,547,632,530,818,delay,500ms,2,69,0,0.75,0.87,1900.989,0.96,2059.157,0.95,2941.190334266187,0.35,837.4359999999992,0.99,0.0422119140625
0,2021-11-16T19:54:09+00:00,https://www.vk.com/,3g,222,251,222,310,1140,1145,1091,1203,5030,5130,5004,5355,4104,4187,4087,4371,5262,5522,5228,6076,5029,5120,5003,5328,delay,500ms,2,189,0,0.46,0,16019.943500000001,0,16169.9435,0.01,16019.943500000001,1,0,1,0
0,2021-11-16T19:45:22+00:00,https://www.facebook.com/,3g,259,260,259,261,272,274,269,282,852,864,828,913,568,574,551,602,2028,2044,2025,2078,844,857,822,905,delay,500ms,2,124,0,0.78,0.26,3882.583,0.53,3882.583,0.83,3882.583,1,0,1,0.02756183624267578
0,2021-11-16T19:48:07+00:00,https://www.youtube.com/,3g,9372,9381,9359,9412,66,69,64,76,4069,4010,3827,4135,376,375,371,378,11103,11108,11020,11200,4067,4008,3825,4133,delay,500ms,2,292,0,0.41,0.13,4707.09,0.03,8045.9825,0.63,5030.993031225855,0.46,650.0674999999992,1,0.0167266845703125
0,2021-11-16T19:51:20+00:00,https://www.instagram.com/,3g,323,323,323,323,301,397,292,599,1054,1168,1041,1408,394,494,393,696,2821,2788,2464,3079,1052,1165,1039,1405,delay,500ms,2,102,0,0.7,0.88,1882.7300000000005,0.01,10159.263000000003,0.98,2374.144156000406,1,0,0.94,0.08203125
0,2021-11-16T19:13:27+00:00,https://www.google.com/,3g,210,210,210,210,76,77,75,79,746,721,587,829,232,230,219,239,801,799,719,878,739,714,580,823,delay,300ms,2,69,0,0.78,0.88,1871.3349999999998,0.98,1871.3349999999998,0.95,2902.9357882787453,0.45,669.5000000000002,0.99,0.0422119140625
0,2021-11-16T19:24:47+00:00,https://www.vk.com/,3g,310,281,222,310,1262,1296,1253,1374,5164,5134,5041,5197,4158,4161,4123,4201,5954,5743,5271,6005,5139,5115,5040,5165,delay,300ms,2,196,0,0.46,0,16272.4685,0,16347.4685,0.01,16272.4685,1,0,1,0
0,2021-11-16T19:16:06+00:00,https://www.facebook.com/,3g,261,260,259,261,346,329,270,370,890,901,870,944,616,611,567,651,2030,2044,2005,2097,882,893,861,936,delay,300ms,2,125,0,0.79,0.27,3842.743,0.54,3842.743,0.84,3842.743,1,0,1,0.02756183624267578
0,2021-11-16T19:18:49+00:00,https://www.youtube.com/,3g,9349,9358,9347,9377,78,74,62,83,3807,3837,3763,3942,374,371,352,388,10768,10789,10640,10958,3806,3836,3761,3940,delay,300ms,2,292,0,0.42,0.15,4554.098999999999,0.02,8698.080999999998,0.63,5020.384726207825,0.49,618.1069999999995,1,0
0,2021-11-16T19:21:57+00:00,https://www.instagram.com/,3g,323,323,323,323,276,279,265,297,1005,1017,992,1053,388,379,356,393,2424,2390,2269,2476,1003,1015,990,1051,delay,300ms,2,100,0,0.7,0.88,1892.7179999999998,0,10308.640999999998,0.98,2497.3583879999837,1,0,0.94,0.08203125
0,2021-11-16T20:12:09+00:00,https://www.google.com/,3g,210,210,210,210,76,77,75,79,566,572,556,593,222,232,220,253,723,718,706,725,559,564,547,585,delay,700ms,2,69,0,0.74,1,995.0909999999998,1,1060.091,0.97,2644.519827259355,0.27,1018.9875000000002,0.99,0.0422119140625
0,2021-11-16T20:23:25+00:00,https://www.vk.com/,3g,310,283,228,310,1143,1140,1122,1155,5443,5297,4957,5490,4303,4232,4036,4356,6011,5753,5189,6059,5418,5279,4956,5464,delay,700ms,2,195,0,0.46,0,16146.426500000001,0,16221.426500000001,0.01,16146.426500000001,1,0,1,0
0,2021-11-16T20:14:42+00:00,https://www.facebook.com/,3g,259,259,259,259,440,428,304,541,984,965,829,1082,722,702,565,818,2125,2107,1971,2225,978,959,822,1076,delay,700ms,2,123,0,0.79,0.27,3849.638,0.54,3849.638,0.84,3849.638,1,0,1,0.02756183624267578
0,2021-11-16T20:17:23+00:00,https://www.youtube.com/,3g,9369,9372,9369,9379,63,65,60,73,4024,3939,3523,4269,354,359,334,389,11050,10959,10759,11069,4022,3935,3521,4263,delay,700ms,2,292,0,0.38,0.13,4670.2305,0.03,7988.072999999999,0.46,6039.025533820586,0.43,692.5000000000005,1,0.036444091796875
