,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-16T21:04:19+00:00,https://www.instagram.com/,3g,323,323,323,323,292,420,273,696,1025,1156,991,1452,397,528,384,802,2856,2722,2423,2888,1023,1154,989,1450,delay,1000ms,2,0.7,0.88,1884.201,0.01,10244.79,0.98,2379.823,1,0,0.94,0.082031
0,2021-11-16T21:07:09+00:00,https://www.vk.com/,3g,310,283,228,310,1120,1121,1048,1194,9766,9684,8476,10810,8691,8491,7483,9300,10344,10161,9109,11030,9738,9665,8448,10809,delay,1000ms,2,0.46,0,13212.86,0,13362.86,0.02,13884.62,1,0,1,0
0,2021-11-16T20:43:53+00:00,https://www.facebook.com/,3g,259,260,259,261,283,421,259,721,820,1138,803,1790,547,684,521,983,1935,2159,1918,2624,812,1130,796,1781,delay,900ms,2,0.79,0.27,3830.706,0.55,3830.706,0.84,3830.706,1,0,1,0.027562
0,2021-11-16T20:46:37+00:00,https://www.youtube.com/,3g,9378,9008,8254,9393,81,77,68,82,4095,4061,3864,4225,384,383,380,385,11016,11002,10863,11126,4086,4056,3862,4220,delay,900ms,2,0.42,0.15,4555.609,0.01,9151.335,0.59,5277.806,0.5,597,1,0.016727
0,2021-11-16T20:41:18+00:00,https://www.google.com/,3g,210,210,210,210,76,159,73,329,559,635,555,792,234,316,224,489,1311,1495,1297,1878,553,629,548,786,delay,900ms,2,0.7,0.77,2229.382,0.86,2698.039,0.85,3782.921,0.37,799.475,0.99,0.042212
0,2021-11-16T20:49:49+00:00,https://www.instagram.com/,3g,323,323,323,323,291,287,274,295,1052,1042,1000,1075,400,392,371,406,2469,2452,2402,2486,1050,1041,999,1073,delay,900ms,2,0.7,0.87,1899.355,0.01,10171.97,0.98,2372.162,1,0,0.94,0.082031
0,2021-11-16T20:52:38+00:00,https://www.vk.com/,3g,310,310,310,310,1099,1118,1095,1159,5120,5186,5052,5385,4169,4193,4070,4340,6023,6038,5910,6182,5093,5157,5026,5353,delay,900ms,2,0.46,0,16060.92,0,16135.92,0.01,16060.92,1,0,1,0
0,2021-11-16T20:14:42+00:00,https://www.facebook.com/,3g,259,259,259,259,440,428,304,541,984,965,829,1082,722,702,565,818,2125,2107,1971,2225,978,959,822,1076,delay,700ms,2,0.79,0.27,3849.638,0.54,3849.638,0.84,3849.638,1,0,1,0.027562
0,2021-11-16T20:17:23+00:00,https://www.youtube.com/,3g,9369,9372,9369,9379,63,65,60,73,4024,3939,3523,4269,354,359,334,389,11050,10959,10759,11069,4022,3935,3521,4263,delay,700ms,2,0.38,0.13,4670.231,0.03,7988.073,0.46,6039.026,0.43,692.5,1,0.036444
0,2021-11-16T20:12:09+00:00,https://www.google.com/,3g,210,210,210,210,76,77,75,79,566,572,556,593,222,232,220,253,723,718,706,725,559,564,547,585,delay,700ms,2,0.74,1,995.091,1,1060.091,0.97,2644.52,0.27,1018.988,0.99,0.042212
0,2021-11-16T20:20:33+00:00,https://www.instagram.com/,3g,323,323,323,323,294,392,278,603,1022,1117,977,1353,381,484,366,706,2452,2544,2415,2765,1020,1116,976,1351,delay,700ms,2,0.71,0.98,1278.216,0.01,10193.7,1,1923.15,1,0,0.94,0.082031
0,2021-11-16T20:23:25+00:00,https://www.vk.com/,3g,310,283,228,310,1143,1140,1122,1155,5443,5297,4957,5490,4303,4232,4036,4356,6011,5753,5189,6059,5418,5279,4956,5464,delay,700ms,2,0.46,0,16146.43,0,16221.43,0.01,16146.43,1,0,1,0
0,2021-11-16T18:31:31+00:00,https://www.facebook.com/,3g,261,260,259,261,290,286,272,295,881,902,838,986,568,568,552,584,2037,2017,1976,2039,872,894,832,979,delay,0ms,2,0.78,0.26,3869.255,0.54,3869.255,0.83,3869.255,1,0,1,0.027562
0,2021-11-16T18:34:14+00:00,https://www.youtube.com/,3g,9389,9393,9350,9441,74,81,62,108,4243,4099,3795,4259,418,395,342,425,11124,11235,11117,11465,4241,4097,3793,4256,delay,0ms,2,0.41,0.16,4468.1,0.01,9112.066,0.47,5997.293,0.5,599.5145,1,0.016727
0,2021-11-16T18:28:58+00:00,https://www.google.com/,3g,215,215,215,215,78,78,73,83,562,582,550,635,235,237,223,253,1321,1329,1280,1387,553,574,541,628,delay,0ms,2,0.74,0.87,1921.404,0.98,1921.404,0.94,3026.087,0.34,855.734,0.99,0.042212
0,2021-11-16T18:37:25+00:00,https://www.instagram.com/,3g,323,323,323,323,276,383,276,598,1025,1132,1008,1362,379,489,378,710,2457,2567,2452,2793,1023,1130,1007,1361,delay,0ms,2,0.7,0.87,1903.197,0.01,10223.51,0.98,2440.313,1,0,0.94,0.082031
0,2021-11-16T18:40:12+00:00,https://www.vk.com/,3g,310,283,228,310,1113,1243,1104,1513,5331,5301,4964,5607,4341,4333,4037,4621,5891,5809,5193,6344,5304,5283,4963,5583,delay,0ms,2,0.46,0,16176.7,0,16251.7,0.01,16176.7,1,0,1,0
0,2021-11-16T18:46:05+00:00,https://www.facebook.com/,3g,259,258,256,259,282,281,276,285,809,814,803,829,537,538,523,555,1987,1977,1951,1992,801,806,796,821,delay,100ms,2,0.79,0.27,3851.808,0.54,3851.808,0.84,3851.808,1,0,1,0.027562
0,2021-11-16T18:48:49+00:00,https://www.youtube.com/,3g,9408,9408,9390,9425,74,72,67,76,4641,4474,4112,4669,377,373,351,390,11285,11456,11112,11972,4633,4470,4110,4666,delay,100ms,2,0.4,0.14,4577.871,0.03,7793.009,0.65,4913.363,0.39,755.133,1,0.006708
0,2021-11-16T18:43:32+00:00,https://www.google.com/,3g,210,210,210,210,76,80,75,88,562,568,553,588,234,232,224,238,739,989,738,1489,552,560,546,581,delay,100ms,2,0.75,0.87,1898.687,0.98,1898.687,0.96,2823.65,0.34,855.386,0.99,0.042212
0,2021-11-16T18:52:01+00:00,https://www.instagram.com/,3g,323,323,323,323,299,438,296,719,1140,1251,1047,1565,401,549,394,853,2585,2684,2460,3008,1138,1248,1044,1563,delay,100ms,2,0.71,0.98,1284.204,0.01,10259.6,0.99,1976.88,1,0,0.94,0.082031
0,2021-11-16T18:54:53+00:00,https://www.vk.com/,3g,310,281,222,310,1106,1107,1062,1152,5142,5148,4992,5311,4156,4179,4061,4320,5763,5627,5221,5897,5110,5128,4991,5283,delay,100ms,2,0.46,0,16324.86,0,16474.86,0.01,16324.86,1,0,1,0
0,2021-11-16T19:30:40+00:00,https://www.facebook.com/,3g,261,261,261,261,287,284,278,288,831,855,810,925,553,577,539,638,1937,1983,1934,2079,824,848,803,917,delay,400ms,2,0.78,0.25,3915.914,0.52,3915.914,0.83,3915.914,1,0,1,0.027562
0,2021-11-16T19:33:22+00:00,https://www.youtube.com/,3g,9407,9396,9349,9432,65,66,64,69,3875,3909,3641,4212,370,359,337,371,11070,11025,10782,11222,3873,3907,3640,4209,delay,400ms,2,0.45,0.14,4577.89,0.02,8237.997,0.6,5201.608,0.59,493.5,1,0
0,2021-11-16T19:28:07+00:00,https://www.google.com/,3g,210,210,210,210,86,85,72,97,578,579,567,593,238,237,220,253,731,737,719,761,567,570,559,585,delay,400ms,2,0.77,0.88,1869.463,0.98,1869.463,0.96,2738.552,0.42,714,0.99,0.042212
0,2021-11-16T19:36:36+00:00,https://www.instagram.com/,3g,323,323,323,323,292,419,282,684,1105,1187,984,1472,395,525,393,786,2546,2614,2397,2898,1103,1185,981,1470,delay,400ms,2,0.71,0.98,1272.78,0.01,10214.37,0.99,1971.371,1,0,0.94,0.082031
0,2021-11-16T19:39:26+00:00,https://www.vk.com/,3g,310,310,310,310,1106,1156,1105,1256,5238,5212,4840,5558,4253,4219,3851,4552,6040,6000,5630,6331,5213,5186,4812,5532,delay,400ms,2,0.46,0,16056.14,0,16206.14,0.01,16056.14,1,0,1,0
0,2021-11-16T20:00:05+00:00,https://www.facebook.com/,3g,259,259,259,259,280,289,277,309,867,873,797,954,586,603,536,687,2031,2034,1952,2118,860,865,789,947,delay,600ms,2,0.78,0.26,3872.843,0.54,3872.843,0.83,3872.843,1,0,1,0.027562
0,2021-11-16T20:02:50+00:00,https://www.youtube.com/,3g,9387,9387,9357,9418,80,77,69,82,4418,4385,4240,4496,390,391,367,415,11246,11253,11059,11453,4415,4381,4235,4493,delay,600ms,2,0.39,0.13,4705.963,0.03,8077.881,0.61,5172.773,0.4,748.4945,1,0.016727
0,2021-11-16T19:57:31+00:00,https://www.google.com/,3g,210,211,210,214,77,77,71,84,675,924,559,1538,272,265,238,284,814,1034,694,1593,665,916,550,1532,delay,600ms,2,0.78,0.86,1948.842,0.97,2027.067,0.96,2815.91,0.44,676,0.99,0.042212
