,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue,num_http2_responses,num_http3_responses
0,2021-11-15T15:37:04+00:00,https://www.canva.com/,3g,4254,4258,4254,4266,627,611,572,634,3638,3621,3534,3692,942,927,885,953,3716,3686,3598,3744,3631,3617,3531,3688,packetLoss,0.30%,2,0.52,0.82,2089.307,0.76,3093.904,0.53,5598.979146,0.11,1754.5,1,0.0009662272135,372,0
0,2021-11-15T17:44:02+00:00,https://www.whatsapp.com/,3g,560,560,560,560,507,505,465,544,819,834,783,901,709,720,674,776,2041,2049,1998,2107,812,827,776,894,packetLoss,1.35%,2,0.84,0.64,2603.936,0.53,3887.7825,0.97,2603.936,1,0,1,0.0137546658,63,0
0,2021-11-15T17:51:00+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,2337,2028,1198,2549,5957,5671,4682,6373,2791,2482,1446,3208,9115,8672,7775,9127,5902,5615,4629,6315,packetLoss,1.35%,2,0.16,0.27,3842.366,0,14311.307,0.02,13909.05802,0,13302.935,0.84,0.1242567952,308,0
0,2021-11-15T17:46:50+00:00,https://www.forbes.com/,3g,1984,1985,1983,1987,50,50,43,56,4298,6827,4153,12030,256,254,240,266,10419,12352,9716,16921,4272,6803,4128,12010,packetLoss,1.35%,2,0.24,0.71,2419.111,0.03,7960.508,0.07,10761.99761,0.02,3700.5,1,0.01824951172,549,0
0,2021-11-15T17:40:46+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,583,594,524,675,3513,3573,3444,3762,873,899,819,1005,3563,3624,3491,3819,3500,3566,3440,3759,packetLoss,1.35%,2,0.51,0.82,2092.218,0.76,3083.153,0.48,5928.507091,0.09,1944.9865,1,0.0009662272135,378,0
0,2021-11-15T16:33:30+00:00,https://www.whatsapp.com/,3g,560,560,560,560,501,558,495,677,860,897,802,1028,740,782,697,910,2073,2108,2015,2235,853,890,796,1021,packetLoss,0.75%,2,0.82,0.63,2614.703,0.47,4114.703,0.97,2614.703,1,0,1,0.0137546658,63,0
0,2021-11-15T16:41:00+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1139,1267,1053,1609,4960,4905,4737,5017,1436,1537,1336,1838,7836,7900,7714,8149,4913,4854,4684,4965,packetLoss,0.75%,2,0.16,0.28,3793.906,0,11827.9345,0,17384.81368,0,13721.235,0.85,0.1203125,303,0
0,2021-11-15T16:36:09+00:00,https://www.forbes.com/,3g,1979,1979,1979,1979,53,55,47,66,4084,13706,4079,32956,256,249,226,265,12231,23425,9683,48360,4059,13682,4056,32932,packetLoss,0.75%,2,0.49,0.97,1446.694,0.91,2427.464,0.08,10406.61391,0.01,4895.5,1,0.01824951172,534,0
0,2021-11-15T16:30:15+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,584,576,558,585,3451,3352,3080,3526,876,865,821,897,3512,3500,3405,3584,3445,3346,3070,3523,packetLoss,0.75%,2,0.52,0.81,2110.905,0.75,3115.757,0.55,5509.343247,0.09,1916,1,0.0009662272135,372,0
0,2021-11-15T18:01:24+00:00,https://www.whatsapp.com/,3g,560,560,560,560,449,451,415,488,773,790,766,832,659,670,645,706,1990,2004,1977,2045,766,784,760,825,packetLoss,1.50%,2,0.81,0.64,2610.423,0.41,4338.4935,0.97,2610.423,1,0,1,0.0137546658,63,0
0,2021-11-15T18:07:38+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1894,2328,1073,4018,7724,7581,5484,9536,2141,2575,1308,4275,10599,11330,8483,14909,7675,7532,5436,9485,packetLoss,1.50%,2,0.16,0.31,3656.399,0,15671.5145,0.01,15547.03733,0,11773,0.84,0.1242567952,308,0
0,2021-11-15T18:04:02+00:00,https://www.forbes.com/,3g,1987,1986,1983,1989,55,51,44,55,4200,4975,4090,6635,261,257,241,269,12695,13127,9681,17004,4177,4951,4065,6612,packetLoss,1.50%,2,0.89,0.76,2270.537,0.82,2876.313,0.96,2739.599266,0.94,162.5,1,0.006572254817,562,0
0,2021-11-15T17:58:09+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,609,634,575,718,3684,3647,3552,3704,913,926,862,1003,3758,3859,3597,4223,3678,3641,3548,3698,packetLoss,1.50%,2,0.5,0.78,2196.128,0.73,3191.776,0.48,5953.921132,0.1,1791.7965,1,0.0009662272135,387,0
