,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-16T20:07:22+00:00,https://www.instagram.com/,3g,323,323,323,323,299,302,296,311,1101,1122,1084,1182,404,405,399,412,2549,2562,2502,2634,1099,1121,1083,1180,delay,600ms,3,0.7,0.88,1893.286,0.01,10260.93,0.98,2382.785,1,0,0.94,0.082031
0,2021-11-16T20:10:32+00:00,https://www.vk.com/,3g,310,283,228,310,1120,1124,1101,1152,4970,5035,4942,5192,4006,4056,3887,4275,5533,5512,5431,5571,4946,5017,4915,5191,delay,600ms,3,0.46,0,15537.62,0,15687.62,0.01,15537.62,1,0,1,0
0,2021-11-16T19:17:26+00:00,https://www.facebook.com/,3g,261,260,259,261,306,309,284,338,879,883,832,939,602,587,552,607,2043,2038,1970,2101,872,875,823,930,delay,300ms,3,0.79,0.27,3848.866,0.54,3848.866,0.84,3848.866,1,0,1,0.027562
0,2021-11-16T19:20:26+00:00,https://www.youtube.com/,3g,9417,9402,9362,9426,61,60,56,62,4014,3961,3803,4067,356,352,343,357,10695,10718,10668,10791,4010,3959,3801,4065,delay,300ms,3,0.47,0.2,4211.401,0.03,8005.09,0.77,4272.614,0.58,503.5,1,0.036444
0,2021-11-16T19:14:46+00:00,https://www.google.com/,3g,210,210,210,210,365,360,324,391,1061,1085,1059,1136,467,479,449,521,1436,1456,1428,1503,1053,1078,1052,1129,delay,300ms,3,0.68,0.79,2174.933,0.88,2619.098,0.87,3624.783,0.27,1022.342,0.99,0.042212
0,2021-11-16T19:23:18+00:00,https://www.instagram.com/,3g,323,323,323,323,585,486,287,587,1389,1291,1076,1407,680,583,388,681,2831,2738,2505,2879,1387,1289,1074,1405,delay,300ms,3,0.68,0.78,2193.123,0,10833.07,0.97,2611.662,1,0,0.94,0.082031
0,2021-11-16T19:26:28+00:00,https://www.vk.com/,3g,310,281,222,310,1158,1168,1089,1257,4906,4942,4848,5071,3953,3994,3923,4105,5718,5561,5073,5893,4880,4923,4847,5041,delay,300ms,3,0.46,0,15954.27,0,16029.27,0.01,15954.27,1,0,1,0
0,2021-11-15T07:07:16+00:00,https://www.vk.com/,3g,310,310,310,310,1061,1068,1039,1103,5158,5149,5069,5220,4137,4146,4087,4215,5808,5817,5692,5952,5124,5102,4990,5193,packetLoss,0.009,2,0.46,0,15819.259,0,15969.259,0.01,15819.259,1,0,1,0
0,2021-11-15T06:58:38+00:00,https://www.facebook.com/,3g,258,258,258,258,259,265,258,279,701,699,695,701,477,482,477,492,1916,1923,1910,1944,695,693,689,695,packetLoss,0.009,2,0.79,0.29,3727.083,0.53,3877.083,0.85,3727.083,1,0,1,0.02756183624
0,2021-11-15T07:04:17+00:00,https://www.instagram.com/,3g,323,323,323,323,293,294,291,297,1059,1057,1051,1062,381,381,380,383,2513,2515,2513,2518,1058,1056,1049,1060,packetLoss,0.009,2,0.71,0.95,1550.842,0.01,10046.417,0.99,2233.5213,1,0,0.94,0.08203125
