,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-14T03:38:59+00:00,https://www.google.com/,3g,225,225,225,225,500,426,68,710,746,736,308,1153,572,560,130,979,1942,1821,450,3070,743,732,304,1149,bandwidth,480Mbps,2,70,0,0.86,0.9,1815.1729999999998,0.87,2643.8679999999995,0.97,2613.6999267263564,0.85,242.57600000000002,0.88,0.10770080566406251
0,2021-11-14T03:49:13+00:00,https://www.vk.com/,3g,310,310,310,310,1378,1348,1196,1469,5622,5726,5509,6048,4578,4559,4471,4628,7004,6952,6812,7040,5596,5708,5494,6033,bandwidth,480Mbps,2,203,0,0.46,0,17007.2265,0,17157.226500000004,0,18257.46159399946,1,0,1,0
0,2021-11-14T03:41:27+00:00,https://www.facebook.com/,3g,258,258,258,258,432,430,398,461,802,797,779,810,611,601,579,612,2043,2042,1976,2107,797,787,759,805,bandwidth,480Mbps,2,123,0,0.77,0.26,3871.6479999999997,0.49,4021.6479999999997,0.83,3871.6479999999997,1,0,1,0
0,2021-11-14T03:43:57+00:00,https://www.youtube.com/,3g,9304,9304,9302,9305,64,64,58,69,2005,2002,1981,2020,162,168,162,179,2742,2751,2728,2783,2004,2001,1980,2020,bandwidth,480Mbps,2,203,0,0.55,0.19,4282.69,0.02,8237.151999999998,0.72,4564.571617347247,0.87,226.5,1,0
0,2021-11-14T03:46:34+00:00,https://www.instagram.com/,3g,323,323,323,323,279,303,276,353,712,737,711,789,332,349,324,391,2452,2403,2254,2504,711,736,710,788,bandwidth,480Mbps,2,102,0,0.7,0.89,1858.2819999999997,0.01,10215.591999999997,0.99,2079.368559999906,1,0,0.94,0.08203125
0,2021-11-14T04:33:58+00:00,https://www.google.com/,3g,225,225,225,225,472,472,467,478,1044,1050,933,1174,868,847,747,926,1600,1605,1508,1707,1040,1047,930,1170,bandwidth,800Mbps,2,69,0,0.8,0.89,1821.657,0.86,2669.2425000000003,0.85,3739.9756077709944,0.85,248,0.55,0.22765170627170137
0,2021-11-14T04:44:15+00:00,https://www.vk.com/,3g,310,310,310,310,1418,1526,1328,1831,5799,6074,5706,6718,4688,4886,4482,5488,6866,6897,6356,7470,5778,6054,5686,6699,bandwidth,800Mbps,2,204,0,0.46,0,16505.620500000005,0,16580.620500000005,0.01,16943.058593999533,1,0,1,0
0,2021-11-14T04:36:28+00:00,https://www.facebook.com/,3g,258,258,258,258,481,435,291,532,839,806,663,915,628,578,429,677,2076,2083,1949,2223,834,795,657,895,bandwidth,800Mbps,2,123,0,0.78,0.27,3809.6400000000003,0.51,3959.6400000000003,0.84,3809.6400000000003,1,0,1,0
0,2021-11-14T04:38:57+00:00,https://www.youtube.com/,3g,9317,9315,9295,9333,68,69,61,79,1994,1989,1965,2007,178,179,161,197,2698,2706,2693,2728,1993,1988,1964,2006,bandwidth,800Mbps,2,202,0,0.51,0.16,4460.804,0.03,7993.665,0.66,4885.4222590215795,0.76,329.5,1,0
0,2021-11-14T04:41:34+00:00,https://www.instagram.com/,3g,323,323,323,323,405,447,273,663,829,877,713,1088,441,496,333,715,2460,2509,2352,2716,828,876,712,1087,bandwidth,800Mbps,2,102,0,0.71,0.99,1084.419,0.01,10191.600000000002,1,1540.2168340009475,1,0,0.94,0.08203125
