,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-16T12:21:59+00:00,https://www.live.com/,3g,449,449,449,449,333,320,234,393,3264,3336,3009,3735,836,837,707,968,3577,3699,3326,4193,3264,3335,3008,3734,bandwidth,160Mbps,2,165,0,0.36,0.47,3103.557,0.01,9864.868999999999,0.75,4347.507772196196,0.1,1812.0000000000002,1,0
0,2021-11-16T12:05:06+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,641,707,608,873,4928,4917,4739,5085,1158,1226,1152,1367,4970,3397,49,5172,4924,4913,4735,5080,bandwidth,160Mbps,2,383,0,0.46,0.78,2214.091,0.72,3235.095,0.35,6852.43152295574,0.02,3515,1,0.0006458333333333333
0,2021-11-16T13:12:15+00:00,https://www.whatsapp.com/,3g,560,560,560,560,510,515,486,548,994,1030,989,1108,820,855,806,938,2226,2269,2225,2355,985,1021,980,1099,bandwidth,400Mbps,2,63,0,0.83,0.63,2635.899,0.5,3984.21,0.97,2635.899,1,0,1,0.013754665798611112
0,2021-11-16T13:20:25+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1915,1828,1275,2295,7027,7008,5929,8067,3015,2641,1655,3253,9235,9254,8477,10049,6952,6929,5865,7969,bandwidth,400Mbps,2,304,0,0.14,0.13,4719.157000000001,0,16069.93,0.01,16180.240139248252,0,16583.500000000007,0.83,0.12482076009114583
0,2021-11-16T13:15:17+00:00,https://www.forbes.com/,3g,1976,1975,1972,1977,111,111,97,124,5574,5497,4925,5991,369,380,355,415,17018,15130,10819,17552,5524,5444,4881,5927,bandwidth,400Mbps,2,519,0,0.88,0.98,1343.472,0.76,3071.7200000000003,0.96,2815.317033539549,0.89,213,1,0.00812390316857232
0,2021-11-16T13:25:08+00:00,https://www.live.com/,3g,449,449,449,449,288,308,281,354,3050,3050,3026,3073,770,777,756,806,3355,3366,3339,3403,3050,3050,3026,3073,bandwidth,400Mbps,2,165,0,0.37,0.45,3155.1349999999993,0.01,9959.298999999999,0.77,4277.304609073236,0.12,1636,1,0
0,2021-11-16T13:08:23+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,989,998,706,1300,4795,6819,4662,10999,1444,1457,1184,1743,4874,7632,4795,13228,4791,6813,4654,10994,bandwidth,400Mbps,2,382,0,0.47,0.77,2220.65,0.72,3246.035,0.41,6369.135291131339,0.04,2607.135500000002,1,0.0009662272135416666
0,2021-11-16T12:51:04+00:00,https://www.whatsapp.com/,3g,560,560,560,560,526,521,503,533,1044,1027,989,1049,849,842,827,851,2290,2275,2240,2295,1035,1018,979,1039,bandwidth,320Mbps,2,63,0,0.83,0.62,2653.73,0.5,3982.571,0.97,2653.73,1,0,1,0.013754665798611112
0,2021-11-16T13:00:12+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1145,1297,1326,1245,1435,6343,6221,5959,6360,1785,1746,1617,1836,8766,8682,8502,8778,6267,6149,5895,6285,bandwidth,320Mbps,2,304,0,0.15,0.23,4016.1020000000003,0,12068.547000000002,0.01,15074.791988119332,0,21252.5,0.83,0.12719234890407988
0,2021-11-16T12:54:55+00:00,https://www.forbes.com/,3g,1976,1979,1976,1985,109,109,100,118,13340,19190,6177,38053,479,472,430,507,18054,33014,17896,63092,13296,19146,6149,37994,bandwidth,320Mbps,2,559,0,0.79,0.98,1362.2440000000001,0.53,3894.1940000000004,0.92,3240.8500955165655,0.81,278.5,1,0.00812390316857232
0,2021-11-16T13:04:54+00:00,https://www.live.com/,3g,449,449,449,449,308,309,236,382,2962,2838,2477,3074,719,738,674,821,3276,3151,2793,3384,2962,2837,2477,3073,bandwidth,320Mbps,2,165,0,0.37,0.49,3028.194,0.01,9937.203,0.81,4029.7171099404286,0.12,1637.0000000000014,1,0
0,2021-11-16T12:47:13+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,660,668,603,741,4700,4724,4532,4941,1096,1140,1089,1234,5030,7057,4870,11270,4696,4720,4527,4937,bandwidth,320Mbps,2,383,0,0.47,0.78,2207.9269999999997,0.72,3225.5249999999996,0.36,6772.387402347985,0.03,3017.0454999999974,1,0.0006458333333333333
0,2021-11-16T11:48:05+00:00,https://www.whatsapp.com/,3g,560,560,560,560,577,587,535,650,1152,1162,1143,1191,986,975,918,1022,2467,2445,2377,2492,1142,1151,1132,1179,bandwidth,80Mbps,2,64,0,0.83,0.62,2649.687,0.5,3982.283,0.97,2649.687,1,0,1,0.013754665798611112
0,2021-11-16T11:56:47+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1145,1313,1300,1137,1450,6407,6481,6390,6645,2529,2219,1558,2570,8532,6052,422,9203,6338,6414,6322,6582,bandwidth,80Mbps,2,306,0,0.15,0.21,4119.120000000001,0,16055.948499999997,0.01,16030.768482686135,0,20616.155499999993,0.83,0.12482076009114583
0,2021-11-16T11:51:14+00:00,https://www.forbes.com/,3g,1972,1973,1972,1974,117,113,102,121,6169,6399,5882,7146,400,399,379,417,17872,17870,17784,17953,6115,6352,5835,7105,bandwidth,80Mbps,2,554,0,0.47,0.97,1427.9479999999999,0.86,2682.022,0.05,11581.099375755835,0,8619.500000000005,1,0.01824951171875
0,2021-11-16T12:01:34+00:00,https://www.live.com/,3g,449,449,449,449,326,308,227,370,3188,3197,3137,3266,796,826,752,929,3592,3580,3500,3648,3188,3197,3136,3266,bandwidth,80Mbps,2,167,0,0.35,0.47,3103.247,0.01,9944.061,0.74,4409.8693611479985,0.11,1749.0000000000005,1,0
0,2021-11-16T11:44:06+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,668,667,655,678,4543,4698,4481,5069,1155,1151,1126,1172,4621,7520,4608,13330,4539,4692,4472,5064,bandwidth,80Mbps,2,384,0,0.47,0.77,2224.685,0.72,3225.997,0.48,5943.756096825591,0.01,4007.9600000000014,1,0.0009662272135416666
0,2021-11-16T12:29:07+00:00,https://www.whatsapp.com/,3g,560,560,560,560,570,566,558,570,1096,1097,1046,1148,904,905,871,941,2347,2344,2293,2393,1087,1086,1036,1135,bandwidth,240Mbps,2,63,0,0.83,0.63,2635.2039999999997,0.5,3982.9249999999997,0.97,2635.2039999999997,1,0,1,0.013754665798611112
0,2021-11-16T12:38:42+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1582,1827,1376,2523,6738,6990,6421,7812,2084,2277,1773,2974,9206,9432,8871,10219,6624,6903,6343,7741,bandwidth,240Mbps,2,307,0,0.15,0.2,4198.718,0,12986.181,0.01,17054.9970009326,0,25644.971000000005,0.85,0.12043355305989584
0,2021-11-16T12:32:17+00:00,https://www.forbes.com/,3g,1972,1972,1972,1973,101,109,89,136,6332,6289,6181,6355,466,459,417,493,18038,12231,200,18455,6251,6204,6087,6274,bandwidth,240Mbps,2,539,0,0.45,0.82,2079.214,0.86,2679.6980000000003,0.04,11977.057840942465,0,7828.999999999998,1,0.01824951171875
0,2021-11-16T12:43:40+00:00,https://www.live.com/,3g,449,449,449,449,296,288,270,298,3001,2858,2497,3076,733,750,715,801,3323,3173,2814,3381,3000,2857,2497,3075,bandwidth,240Mbps,2,165,0,0.37,0.49,3024.2349999999997,0.01,9928.25,0.73,4488.411089239089,0.13,1552,1,0
0,2021-11-16T12:25:24+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,655,694,604,822,4632,4624,4531,4708,1110,1164,1106,1277,4731,4709,4601,4796,4625,4618,4526,4702,bandwidth,240Mbps,2,381,0,0.52,0.78,2199.6969999999997,0.93,2355.051,0.36,6718.952848030759,0.05,2559.147000000003,1,0.0006458333333333333
0,2021-11-16T13:52:07+00:00,https://www.whatsapp.com/,3g,560,560,560,560,615,588,502,648,1120,1089,958,1189,951,905,798,965,2370,2339,2209,2437,1110,1080,949,1180,bandwidth,560Mbps,2,63,0,0.83,0.63,2641.194,0.5,3988.4120000000003,0.97,2641.194,1,0,1,0.013754665798611112
