,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-15T07:38:17+00:00,https://www.whatsapp.com/,3g,560,560,560,560,469,477,442,520,1126,1098,1031,1136,933,896,801,955,2356,2330,2263,2372,1115,1087,1019,1127,delay,600ms,2,63,0,0.83,0.62,2647.0710000000004,0.51,3967.397,0.97,2647.0710000000004,1,0,1,0.013754665798611112
0,2021-11-15T07:46:03+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1458,1547,1277,1907,9018,9222,8330,10319,2349,2449,1878,3119,10879,11063,10273,12038,8890,9121,8246,10226,delay,600ms,2,305,0,0.15,0.28,3800.4129999999996,0,10751.542500000003,0.01,16065.178394713952,0,24325.931999999993,0.82,0.1294411214192708
0,2021-11-15T07:41:11+00:00,https://www.forbes.com/,3g,1846,1841,1830,1846,62,64,60,70,901,903,857,951,419,417,399,434,1296,1281,1219,1327,901,902,856,950,delay,600ms,2,87,0,0.47,0.98,1322.443,0.87,2657.8720000000003,0.04,12379.686109092323,0,10273,1,0.006904785368177626
0,2021-11-15T07:51:21+00:00,https://www.live.com/,3g,449,449,449,449,271,301,208,424,3964,4700,2744,7393,1100,1031,826,1168,4287,5126,3068,8023,3964,4700,2743,7393,delay,600ms,2,165,0,0.36,0.4,3314.957,0.01,10002.997999999998,0.71,4592.101076291741,0.13,1582.9469999999994,1,0
0,2021-11-15T07:34:19+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,747,990,555,1667,5642,5615,4723,6479,1281,1540,1209,2131,5731,5797,5090,6570,5631,5605,4714,6470,delay,600ms,2,375,0,0.42,0.66,2537.392,0.59,3691.17,0.37,6695.278037404281,0.03,3114.5,1,0.0013230251736111112
0,2021-11-15T07:17:05+00:00,https://www.whatsapp.com/,3g,560,560,560,560,491,496,461,535,1219,1190,1092,1260,947,929,864,976,2441,2411,2314,2477,1201,1172,1078,1238,delay,500ms,2,63,0,0.84,0.63,2627.5099999999998,0.52,3919.6199999999994,0.97,2627.5099999999998,1,0,1,0.013754665798611112
0,2021-11-15T07:25:35+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1145,1773,2008,1124,3126,7272,7934,6934,9595,2246,2512,1575,3716,9571,10074,9093,11558,7194,7842,6831,9501,delay,500ms,2,304,0,0.16,0.32,3609.525,0,10421.0625,0.01,14928.270372154213,0,20748.142999999996,0.82,0.12857076009114582
0,2021-11-15T07:20:07+00:00,https://www.forbes.com/,3g,1846,1841,1830,1846,57,58,51,65,909,932,875,1013,387,374,286,449,1305,1318,1294,1356,908,932,875,1012,delay,500ms,2,86,0,0.49,0.98,1330.46,0.94,2286.932,0.04,12014.926636137816,0,8331.63048433686,1,0.005859375
0,2021-11-15T07:30:30+00:00,https://www.live.com/,3g,449,449,449,449,220,204,169,223,2552,2528,2417,2614,786,791,716,872,2884,2895,2883,2919,2552,2527,2416,2613,delay,500ms,2,166,0,0.37,0.44,3186.577,0.01,9982.708,0.73,4494.377508188883,0.17,1360.0814999999993,1,0
0,2021-11-15T07:12:47+00:00,https://www.canva.com/,3g,4254,4258,4254,4266,607,589,543,617,4331,5322,4300,7336,1019,1187,1010,1533,4586,8123,4409,15373,4323,5312,4289,7325,delay,500ms,2,374,0,0.41,0.67,2527.8540000000003,0.56,3790.8540000000003,0.36,6762.892616822175,0.01,4344.679499999998,1,0.0013230251736111112
0,2021-11-15T06:31:14+00:00,https://www.whatsapp.com/,3g,560,560,560,560,429,460,412,539,1089,1105,995,1232,778,835,773,954,3402,3107,2455,3463,1070,1090,983,1216,delay,300ms,2,61,0,0.83,0.63,2626.643,0.51,3968.9610000000002,0.97,2626.643,1,0,1,0.013754665798611112
0,2021-11-15T06:42:03+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1207,1200,1091,1302,7911,8182,7729,8907,1819,1873,1725,2076,9617,9911,9452,10664,7806,8084,7624,8822,delay,300ms,2,303,0,0.16,0.27,3844.0340000000006,0.03,7889.690999999999,0,17166.54693065817,0,24812.799999999996,0.82,0.1294411214192708
0,2021-11-15T06:36:00+00:00,https://www.forbes.com/,3g,1979,1929,1830,1979,100,96,79,110,16939,19271,1082,39791,531,532,369,697,36539,39377,44,81548,16782,19199,1081,39733,delay,300ms,2,399,0,0.44,0.98,1357.434,0.76,3103.832,0.03,13035.497412140827,0,15751.174811973575,1,0.01824951171875
0,2021-11-15T06:47:21+00:00,https://www.live.com/,3g,449,449,449,449,228,264,216,348,2538,2494,2301,2643,840,857,750,982,2856,2809,2613,2957,2537,2493,2300,2643,delay,300ms,2,165,0,0.34,0.41,3299.359,0.01,10075.432999999999,0.69,4720.325849948587,0.08,1966.542,1,0
